Código;Nome
1;Abel Pêra
2;Abrahão Farc
3;Ademir Zanyor
4;Adílson Maghá
5;Adriano Garib
6;Babu Santana
7;Bemvindo Sequeira
8;Benjamin Cattan
9;Bento Ribeiro
10;Bernardo Marinho
11;Beto Simas
12;Borges de Barros
13;Eduardo Martini
14;Eduardo Moscovis
15;Eduardo Pires
16;Eduardo Semerjian
17;Eduardo Tornaghi
18;Edward Boggis
19;Edwin Luisi
20;Fabiano Augusto
21;Fernando Almeida
22;Fernando Baleroni
23;Fernando Eiras
24;Fernando Gomes
25;Fernando José
26;Fernando Pavão
27;Fernando Peixoto
28;Fernando Reski
29;Fernando Torres
30;Dante Rui
