Pessoa;Produção
agner Moura;Narcos
amuel Jackson;Os Vingadores
att Damon;Invictus
att Leblanc;Friends - 1ª Temporada, Friends - 2ª Temporada, Friends - 3ª Temporada
avid Lean;Doutor Jivago
ça de Queirós;A Capital, O Primo Basílio, Os Maias
carlett Johansson;Ele não está tão afim de você, Os Vingadores
ebbie Reynolds;Cantando na Chuva
empé Goscinny;Novas Aventura do Pequeno Nicolau
ene Kelly;Cantando na Chuva, Sinfonia de Paris
en Kwapis;Ele não está tão afim de você
ennifer Aniston;Friends - 1ª Temporada, Friends - 2ª Temporada, Friends - 3ª Temporada
eorge Cukor;Driving Miss Daisy, My Fair Lady
ergio Leone;Era uma Vez no Oeste
ex Harrison;My Fair Lady
hris Evans;Os Vingadores
ima Barreto;Triste Fim de Policarpo Quaresma
incente Minelli;Sinfonia de Paris
laudia Cardinale;Era uma Vez no Oeste
leanor Porter;Pollyana Moça
lint Eastwood;Invictus
lphonse Daudet;Cartas do meu Moinho
mar Sharif;Doutor Jivago
obert Downey Junior;Os Vingadores
onald Connor;Cantando na Chuva
organ Freeman;Driving Miss Daisy, Invictus
oss Whedon;Os Vingadores
tanley Donen;Cantando na Chuva
udrey Hepburn;My Fair Lady
ulie Christie;Doutor Jivago
