Código;Nome;Tipo;Diretor;A(u)tores;Tamanho;Gênero;Série;Temporada;Possui?;Consumiu?;Deseja?;Preço
1;Wolverine: Imortal;F;1;2, 3, 4, 5;128;ACO;;;x;x;;
2;Meu Malvado Favorito 2;F;6;7;98;ANM;;;x;x;;
3;Harry Potter e a Pedra Filosofal;F;8;10, 11, 12;152;FST;;;;x;;
4;Animais Fantásticos e Onde Habitam;L;;9;64;FST;;;x;x;;
5;O Senhor dos Anéis - Volume Único;L;;13;1212;AVT;;;;x;x;116,10
6;Steve Jobs;L;;14;632;BIO;;;;;x;26,91
7;The Big Bang Theory;S;;15, 16, 17;22;CMD;The Big Bang Theory;9;;x;;
8;O Poderoso Chefão;F;18;19;175;CRM;;;;;x;33,90
9;Terra ;F;20;;90;DOC;;;x;x;;
10;Dr. House;S;;21, 22, 23;44;DRM;Dr. House;8;x;x;;
11;Perdido em Marte;F;24;25;144;FCC;;;;x;;
12;Interestelar ;F;26;27;169;FCC;;;;x;x;24,90
13;Gotham ;S;;28;42;CRM;Gotham ;2;;x;;
14;Arrow;S;;29;42;ACO;Arrow;4;;x;;
15;The Flash;S;;30;43;ACO;The Flash;2;;x;;
16;Quadribol Através dos Séculos;L;;9;64;AVT;;;x;x;;
17;Os Contos de Beedle, O Bardo;L;;9;107;FST;;;x;x;;
18;Batman Begins;F;26;;140;ACO;;;;x;;
19;Êxodo: Deuses e Reis;F;24;;150;DRM;;;;x;;
20;Percy Jackson e o Ladrão de Raios;F;8;;118;AVT;;;;x;x;14,90
