Pessoa;Produção
Al Pacino;O Poderoso Chefão
Alastair Fothergill;Terra
Ben McKenzie;Gotham
Chris Columbus;Harry Potter e a Pedra Filosofal, Percy Jackson e o Ladrão de Raios
Chris Renaud;Meu Malvado Favorito 2
Christopher Nolan;Batman Begins, Interestelar
Daniel Radcliffe;Harry Potter e a Pedra Filosofal
Emma Watson;Harry Potter e a Pedra Filosofal
Famke Janssen;Wolverine: Imortal
Francis Ford Coppola;O Poderoso Chefão
Grant Gustin;The Flash
Hugh Jackman;Wolverine: Imortal
Hugh Laurie;Dr. House
J. K. Rowling;Animais Fantásticos e Onde Habitam, Os Contos de Beedle, O Bardo, Quadribol Através dos Séculos
J. R. R. Tolkien;O Senhor dos Anéis - Volume Único
James Mangold;Wolverine: Imortal
Jim Parsons;The Big Bang Theory
Johnny Galecki;The Big Bang Theory
Kaley Cuoco;The Big Bang Theory
Matt Damon;Perdido em Marte
Matthew McConaughey;Interestelar
Omar Epps;Dr. House
Ridley Scott;Êxodo: Deuses e Reis, Perdido em Marte
Robert Sean Leonard;Dr. House
Rupert Grint;Harry Potter e a Pedra Filosofal
Stephen Amell;Arrow
Steve Carell;Meu Malvado Favorito 2
Tao Okamoto;Wolverine: Imortal
Walter Isaacson;Steve Jobs
Will Yun Lee;Wolverine: Imortal
