Código;Título;Tipo;Diretor;A(u)tor;Tamanho;Gênero;Série;Temporada;Possui?;Consumiu?;Deseja;Preço
1;My Fair Lady;F;1;2,3;173;MC;;;x;x;;14,99
2;Pollyana Moça;L;;4;202;RM;;;;;x;15,99
3;O Primo Basílio;L;;5;133;RM;;;x;x;;22,55
4;Cantando na Chuva;F;6;7,8,9;164;MC;;;x;;;17,99
5;Sinfonia de Paris;F;10;7;193;MC;;;;x;x;30,45
6;Doutor Jivago;F;11;12,13;201;DM;;;x;x;;34,95
7;Os Vingadores;F;18;17,22,23,25;175;AT;;;;x;x;49,99
8;Era uma Vez no Oeste;F;20;24;165;FR;;;x;x;;32,55
9;Ele não está tão afim de você;F;19;25;95;RM;;;;;x;24,99
10;Friends - 1ª Temporada;S;;14,15;1000;CM;Friends;1;x;;;35,95
11;Cartas do meu Moinho;L;;26;94;DM;;;;;x;15,65
12;Narcos;S;;16;1012;BI;Narcos;1;x;x;;55,35
13;Triste Fim de Policarpo Quaresma;L;;21;152;HI;;;;x;x;12,75
14;Novas Aventura do Pequeno Nicolau;L;;27;118;CM;;;x;x;;33,85
15;Invictus;F;28;29,30;184;ET;;;;x;x;24,99
16;Friends - 3ª Temporada;S;;14,15;1050;CM;Friends;3;x;;;35,95
17;Driving Miss Daisy;F;1;30;100;DM;;;x;x;;25,95
18;Os Maias;L;;5;123;RM;;;;;x;23,75
19;A Capital;L;;5;115;HI;;;;;x;28,35
20;Friends - 2ª Temporada;S;;14,15;1023;CM;Friends;2;x;;;35,95
