Código;Nome;Tipo;Diretor;A(u)tores;Tamanho;Gênero;Série;Temporada;Possui?;Consumiu?;Deseja?;Preço;
1;Ruby Sparks, A Namorada Perfeita;F;7;8,9,10;103;ROM;;;x;x;;
2;Eragon;L;;1;460;AVT;;;;;x;23,95
3;O Nome do Vento;L;;2;656;AVT;;;x;x;;;
4;O Homem que Copiava;F;11;12;123;DRM;;;x;;;
5;American Horror Story Coven;S;;13,14,15;560;TRR;American Horror Story;3;;x;;
6;O Fabuloso Destino de Amélie Poulain;F;17;16;120;ROM;;;x;x;;
7;Eldest;L;;1;642;AVT;;;;;x;59,4
8;O Garoto de Liverpool;F;23;;98;BIO;;;;x;;
9;Os Instrumentos Mortais, Cidade dos Ossos;L;;3;459;FNT;;;;x;;
10;O Procurado;F;28;26,29;110;ACO;;;x;x;;
11;Bates Motel;S;;24;420;SUS;Bates Hotel;1;x;x;;
12;Uma viagem Extraordinária;F;17;18;105;DRM;;;x;x;;
13;Alice no País das Maravilhas;F;22;18,19,20,21;109;FNT;;;x;;;
14;As Crônicas de Spiderwick;F;25;24;97;AVT;;;;;x;20,99
15;Quem é você, Alasca?;L;;4;240;ROM;;;x;x;;
16;Sangue Quente;L;;6;256;FCC;;;;;x;34,9
17;O Turista;F;27;19,26;103;ACO;;;x;x;;
18;Freaks and Geeks;S;;;756;CMD;Freaks and Geeks;1;x;x;;
19;That '70s Show;S;;30;506;CMD;70's Show;8;;x;;
20;O Jogo do Exterminador;L;;5;380;FCC;;;x;x;;
