Código;Nome
1;Christopher Paolini
2;Patrick Rothfuss
3;Cassandra Clare
4;John Green
5;Orson Scott Card
6;Isaac Marion
7;Johnathan Dayton
8;Paul Dano
9;Zoe Karzan
10;Chris Messina
11;Jorge Furtado
12;Lazaro Ramos
13;Thayssa Farmiga
14;Evan Peters
15;Emma Roberts
16;Audrey Tautou
17;Jean-Pierre Juenet
18;Helena Bonham Carter
19;Johnny Depp
20;Mia Wasikowska
21;Anne Hathaway
22;Tim Burton
23;Sam Taylor-Johnson
24;Freddie Highmore
25;Mark Waters
26;Angelina Jolie
27;Florian Henckel
28;Timur Bekmambetov
29;James McAvoy
30;Mila kunis
